AirLanguageID|AirLanguageCode|ActiveFG|EnglishDescription|IsAboriginalLanguage|FrenchDescription|FilterTvFG|FilterPayFG
309|SWA|1|SWAHILI||SWAHILI||
310|SWE|1|SWEDISH||SUEDOIS||
311|SWZ|1|SWAZI||SWAZI||
312|SYR|1|SYRIAC||SYRIAQUE||
313|TAG|1|TAGALOG||TAGAL||
314|TAH|1|TAHITIAN||TAHITIEN||
315|TAJ|1|TAJIK||TAJIK||
316|TAM|1|TAMIL||TAMOUL||
317|TAR|1|TATAR||TATAR||
318|TEL|1|TELUGU||TELUGU||
319|TEM|1|TEMNE||TEMNE||
320|TER|1|TERENO||TERENO||
321|THA|1|THAI||THAI||
322|TIB|1|TIBETAN||TIBETAIN||
323|TIG|1|TIGRE||TIGRE||
324|TIR|1|TIGRINA||TIGRINA||
325|TIV|1|TIVI||TIVI||
326|TLI|1|TLINGIT|1|TLINGIT||
327|TOG|1|TONGA (NYASA)||TONGA (NYASA)||
328|TON|1|TONGO (TONGO ISLANDS)||TONGO (ILES TONGO)||
329|TRU|1|TRUK||TRUK||
330|TSI|1|TSIMSHIAN|1|TSIMSHIAN||
331|TSO|1|TSONGA||TSONGA||
332|TSW|1|TSWANA||TSWANA||
333|TUK|1|TURKMEN||TURKMENE||
334|TUM|1|TUMBUKA||TUMBUKA||
335|TUR|1|TURKISH||TURC||
336|TWI|1|TWI||TWI||
337|UGA|1|UGARITIC||OUGARITIQUE||
338|UIQ|1|UIGUR||UIGUR||
339|UKR|1|UKRAINIAN||UKRAINIEN||
340|UMB|1|UMBUNDU||UMBUNDU||
341|UND|1|UNDETERMINED||INDETERMINE||
342|URD|1|URDU||OURDOU||
343|UZB|1|UZBEK||UZBEK||
344|VAI|1|VAI||VAI||
345|VEN|1|VENDA||VENDA||
346|VIE|1|VIETNAMESE||VIETNAMIEN||
347|VOT|1|VOTIC||VOTIQUE||
348|WAK|1|WAKASHAN LANGUAGES||LANGUES WAKASHANES||
349|WAL|1|WALAMO||WALAMO||
350|WAR|1|WARAY||WARAY||
351|WAS|1|WASHO||WASHO||
352|WEL|1|WELSH||GALLOIS||
353|WEN|1|WENDIC||WENDIC||
354|WOL|1|WOLOF||WOLOF||
355|XHO|1|XHOSA||XHOSA||
356|YAO|1|YAO (BANTU)||YAO (BANTOU)||
