LogIdentifierID|LogServiceID|PrimaryFG
TVTEST|3726|1
TVTROPLIS|3628|0
UKR1|3727|1
unis|3913|1
URDU|3728|1
UTV|3729|1
V|3711|1
VANES|3730|1
VCC01|3731|0
VCC02|3742|0
VCC03|3753|0
VCC04|3764|0
VCC05|3774|0
VCC06|3775|0
VCC07|3776|0
VCC08|3777|0
VCC09|3778|0
VCC1|3731|1
VCC10|3732|1
VCC11|3733|1
VCC12|3734|1
VCC13|3735|1
VCC14|3736|1
VCC15|3737|1
VCC16|3738|1
VCC17|3739|1
VCC18|3740|1
VCC19|3741|1
VCC2|3742|1
VCC20|3743|1
VCC21|3744|1
VCC22|3745|1
VCC23|3746|1
VCC24|3747|1
VCC25|3748|1
VCC26|3749|1
VCC27|3750|1
VCC28|3751|1
VCC29|3752|1
VCC3|3753|1
VCC30|3754|1
VCC31|3755|1
VCC32|3756|1
VCC33|3757|1
VCC34|3758|1
VCC35|3759|1
VCC36|3760|1
VCC37|3761|1
VCC38|3762|1
VCC39|3763|1
VCC4|3764|1
VCC4-F|3764|0
VCC40|3765|1
VCC41|3766|1
VCC42|3767|1
VCC43|3768|1
VCC44|3769|1
VCC45|3770|1
VCC46|3771|1
VCC47|3772|1
VCC48|3773|1
VCC5|3774|1
VCC6|3775|1
VCC7|3776|1
VCC8|3777|1
VCC9|3778|1
VIBE|3779|1
VICE|3222|1
VIET|3780|1
VINTAG|3922|1
VINTAGE|3922|0
VISION|3781|1
VITALI|3782|1
VIVA|3402|0
VRAK|3230|1
VUE01|3783|1
VUE02|3784|1
VUE03|3785|1
VUE04|3786|1
VUE05|3787|1
VUE06|3788|1
VUE07|3789|1
VUE08|3790|1
VUE09|3791|1
VUE10|3792|1
VUE11|3793|1
VUE12|3794|1
VUE13|3795|1
VUE14|3796|1
VUE15|3797|1
VUE16|3798|1
VUE17|3799|1
VUE18|3800|1
VUE19|3801|1
VUE20|3802|1
VUE21|3803|1
VUE22|3804|1
VUE23|3805|1
VUE24|3806|1
VUE25|3807|1
VUE26|3808|1
VUE27|3809|1
VUE28|3810|1
VUE29|3811|1
VUE30|3812|1
VUE31|3813|1
VUE32|3814|1
VUE33|3815|1
VUE42|3816|1
VUE43|3817|1
VUE44|3818|1
VUE45|3819|1
VUE47|3820|1
VUE48|3821|1
VUE49|3822|1
VUE50|3823|1
VUE51|3824|1
VUE52|3825|1
VUE53|3826|1
VUE54|3827|1
VUE55|3828|1
VUE56|3829|1
VUE57|3830|1
VUE58|3831|1
VUE59|3832|1
VUE60|3833|1
VUE61|3834|1
VUE62|3835|1
VUE63|3836|1
VUE65|3837|1
VUE66|3838|1
VUE70|3839|1
VUE71|3840|1
VUE72|3841|1
VUE73|3842|1
VUE74|3843|1
VUE75|3844|1
VUE76|3845|1
VUE77|3846|1
VUF05|3847|1
VUF06|3848|1
VUF07|3849|1
VUF08|3850|1
VUF09|3851|1
VUF10|3852|1
VUF16|3853|1
VUF21|3854|1
VUF22|3855|1
VUF23|3856|1
VUF24|3857|1
VUF25|3858|1
VUF29|3859|1
VUF30|3860|1
VUF33|3861|1
VUF34|3862|1
VUF35|3863|1
VUF36|3864|1
VUF37|3865|1
VUF38|3866|1
VUF39|3867|1
VUF40|3868|1
VUF41|3869|1
VUF42|3870|1
VUF43|3871|1
VUF46|3872|1
VUF57|3873|1
VUF59|3874|1
VUF64|3875|1
VUF69|3876|1
VUFH1|3877|1
VUFHD|3878|1
VUHD2|3879|1
VUHD3|3880|1
VUHD4|3881|1
VUHDI|3882|1
W|3887|0
